coronavirus,223843
nan,86350
covid,67037
19,64625
covid19,56389
people,28026
trump,17061
via,16803
us,15701
virus,15674
amp,15424
cases,13746
get,13346
new,13307
like,13291
covidー19,12439
coronaviruspandemic,12216
one,11776
si,11703
please,11236
home,11067
help,10846
italy,10741
time,10738
china,10676
stay,10546
news,10459
pandemic,10453
need,10255
realdonaldtrump,10138
positive,9616
na,9224
di,9186
corona,9155
world,8920
know,8107
crisis,8056
stop,7947
il,7933
test,7896
go,7859
good,7783
the,7767
times,7716
support,7692
health,7441
da,7435
et,7357
would,7284
going,7277
spread,7125
first,7100
government,7097
lockdown,7056
take,6917
see,6850
est,6838
trying,6674
day,6561
could,6374
still,6331
president,6297
let,6232
think,6155
even,6120
casos,6117
fight,6098
des,6078
share,6041
social,6020
die,6007
right,5921
friends,5907
2020,5738
well,5655
today,5596
really,5587
to,5487
many,5467
du,5444
got,5416
italian,5380
make,5338
re,5320
due,5265
may,5263
says,5258
000,5222
live,5212
stand,5153
quarantine,5137
outbreak,5133
tests,5125
testing,5108
country,5094
work,5069
tested,5046
india,5036
everyone,4973
state,4950
pour,4904
read,4884
want,4855
say,4806
thank,4796
per,4756
way,4688
stayathome,4652
god,4623
man,4608
video,4604
colleagues,4548
death,4534
total,4455
youtube,4439
come,4412
pas,4411
also,4387
said,4379
22,4375
deaths,4356
every,4353
great,4346
real,4339
cuarentena,4296
care,4287
must,4230
much,4188
true,4183
non,4174
uk,4171
keep,4143
sa,4142
hope,4133
10,4115
response,4035
self,3970
paul,3963
twitter,3936
covid_19,3910
amid,3909
safe,3877
em,3843
casa,3830
com,3826
não,3826
days,3826
gente,3814
hospital,3813
march,3803
back,3791
workers,3771
in,3758
de,3750
va,3708
chinese,3687
medical,3630
last,3617
things,3614
bill,3603
ca,3597
rand,3589
getting,3551
and,3518
life,3510
love,3509
thanks,3493
case,3490
confirmed,3473
ne,3456
give,3435
thing,3433
watch,3429
fuck,3424
sign,3422
week,3413
dr,3393
eu,3384
je,3375
update,3370
public,3350
ser,3340
distancing,3331
best,3319
emergency,3301
shit,3288
au,3286
mais,3269
une,3264
look,3260
narendramodi,3251
media,3245
qui,3241
never,3226
york,3224
doctors,3220
italia,3209
needs,3189
two,3167
latest,3157
of,3152
america,3117
working,3104
oh,3073
gobierno,3069
covidiot,3046
presidente,3002
jantacurfew,2987
doctor,2985
use,2975
dan,2958
anyone,2947
mundo,2933
year,2933
patients,2932
ce,2932
call,2929
americans,2897
better,2882
th,2847
um,2845
pandemia,2841
someone,2813
number,2811
coronavírus,2806
this,2800
pm,2791
yes,2788
daily,2773
curfew,2771
family,2756
free,2755
made,2752
breaking,2751
face,2744
put,2742
around,2735
gt,2704
weeks,2675
another,2674
already,2668
ve,2666
away,2663
no,2663
país,2661
house,2661
important,2659
20,2658
american,2656
che,2641
old,2614
is,2568
