gram,counts
★ covid 19,22565
covid 19 pandemic,13923
due covid 19,10544
covid 19 outbreak,9847
tests positive ★,9596
covid 19 ★,9443
covid 19 cases,8776
tested positive ★,7829
sign petition via,7809
positive covid 19,7064
amid ★ outbreak,6899
virus covid 19,6355
covid 19 virus,6332
amid covid 19,6053
bbc news ★,5771
trying times share,5468
stand italy trying,5399
italy trying times,5398
times share support,5398
share support italian,5390
support italian friends,5385
covid 19 crisis,5356
covid 19 via,5347
italian friends colleagues,5347
spread covid 19,5253
amid ★ pandemic,4993
covid 19 update,4671
cases covid 19,4641
responsible citizen come,4434
citizen come forward,4429
response covid 19,4341
new york times,4323
people people people,4302
curfew people people,4295
people people fight,4279
people fight covid19,4276
fight covid19 responsible,4249
covid19 responsible citizen,4239
covid 19 test,3619
★ live updates,3577
frontline nhs staff,3528
petition via ukchange,3454
covid 19 priority,3437
test frontline nhs,3430
nhs staff covid,3419
covid 19 testing,3321
new ★ cases,3286
test positive ★,3274
covid 19 response,3175
★ via youtube,3059
petition via change,3026
covid 19 situation,3000
★ task force,2961
fight covid 19,2907
★ death toll,2828
new cases ★,2811
due ★ outbreak,2789
world health organization,2522
amid ★ crisis,2506
case covid 19,2505
covid 19 corona,2486
tested positive covid,2457
covid 19 patients,2443
covid 19 case,2429
19 priority ★outbreak,2414
new york city,2398
covid 19 sign,2383
universal basic income,2301
regarding covid 19,2210
get covid 19,2192
priority ★outbreak sign,2192
paid sick leave,2187
★outbreak sign petition,2178
stop spread ★,2174
★ disease 2019,2120
tests positive covid,2087
simulations show flatten,2069
president donald trump,2065
new covid 19,2025
outbreaks like ★,2010
show flatten ★,2008
★ growth curve,1995
flatten ★ growth,1986
confirmed ★ cases,1982
19 sign petition,1960
like ★ spread,1941
due ★ pandemic,1927
★ spread exponentially,1901
amid ★ fears,1882
covid 19 spread,1861
★ crisis sign,1799
instansi terkait peduli,1789
tests negative ★,1780
postponed due ★,1774
★ chinese virus,1770
corona covid 19,1770
spread exponentially flatten,1746
confirmed covid 19,1742
first case ★,1728
help stop spread,1713
covid 19 concerns,1711
covid 19 tests,1703
exponentially flatten curve,1699
covid 19 chinese,1692
st patrick day,1674
★ relief bill,1658
cancelled due ★,1658
disease 2019 covid,1658
confirmed cases ★,1651
trump tests negative,1644
get well soon,1608
covid 19 vaccine,1607
covid 19 symptoms,1584
first covid 19,1554
due ★ concerns,1530
twitter web client,1527
impact covid 19,1511
★ test kits,1503
health care workers,1502
declares national emergency,1497
disease covid 19,1477
amid ★ concerns,1472
affected covid 19,1448
19 chinese virus,1436
update covid 19,1424
★ response act,1420
prevent spread ★,1417
tested covid 19,1414
flatten curve washington,1413
stay safe everyone,1407
first ★ case,1405
curve washington post,1392
★ outbreak via,1385
★ pandemic via,1379
slow spread ★,1342
join fight ★,1336
trump declares national,1333
number ★ cases,1328
towards keeping th,1307
★ disease covid,1301
covid 19 patient,1298
fight ★ taken,1295
call government support,1285
uk hospitality industry,1283
support uk hospitality,1280
government support uk,1279
hospitality industry ★,1274
committed towards keeping,1273
★ must act,1270
pledge committed towards,1268
curfew pledge committed,1261
first ★ death,1260
★ puede matarme,1256
pencegahan wabah covid,1254
matar morí día,1252
families first ★,1245
death toll rises,1245
bersama instansi terkait,1243
declares state emergency,1242
boris johnson call,1238
peduli pencegahan wabah,1236
covid 19 na,1235
johnson call government,1232
terkait peduli pencegahan,1230
kenali beberapa cara,1225
please stay home,1220
cara penularan virus,1220
beberapa cara penularan,1219
confirmed cases covid,1218
dio positivo ★,1214
test test test,1214
industry ★ crisis,1210
polri bersama instansi,1210
known covid 19,1198
calling covid 19,1197
practice social distancing,1196
restez chez vous,1194
★ new york,1191
covid 19 death,1178
help fight ★,1175
first ★ response,1172
19 corona agar,1169
get tested ★,1166
si da ★,1165
corona agar kalian,1162
kita kenali beberapa,1161
national emergency ★,1158
covid 19 quarantine,1157
covid 19 many,1152
know covid 19,1146
